song_id,song_name,song_author,song_file,bpm,Easy,Normal,Hard,Expert,ExpertPlus
diemfdie,Die MF Die,Dope,die.ogg,125.97799682617188,,,,ExpertStandard.dat,ExpertPlusStandard.dat
diggydiggyhole,Diggy Diggy Hole,Wind Rose,diggy.ogg,125,,,,ExpertStandard.dat,ExpertPlusStandard.dat
dirtydisco,Dirty Disco,ZomBoy,song.ogg,120,,Normal.dat,,,
dirtylittleanimals,Dirty Little Animals,BONES UK,song.ogg,106.0,Easy.dat,,,,
discovision,DiscoVision,Anders Enger Jensen,song.ogg,119.0,Easy.dat,,,,
disposableheroes,Disposable Heroes,Metallica,song.ogg,205,,,,ExpertStandard.dat,ExpertPlusStandard.dat
divinations,Divinations,Mastodon,song.ogg,139.0,Easy.dat,,,,
domadagr,Domadagr,Danheim,song.ogg,103.0,Easy.dat,,,,
dontmesswithme,Don't Mess With Me,Brody Dalle,song.ogg,163.9810028076172,,,,ExpertStandard.dat,
downgradedesert,Downgrade Desert,Igorrr,Downgrade.ogg,110,,,,,ExpertPlusStandard.dat
downwiththesickness,(Down With) The Sickness,Disturbed,song.ogg,90.0,Easy.dat,,,,
dragonborn,Dragonborn,Headhunterz,dragonbornhh.ogg,150,,,,ExpertStandard.dat,ExpertPlusStandard.dat
dragonliesbleeding,Dragon Lies Bleeding,Hammerfall,DragonLiesBleeding.ogg,153.97999572753906,,NormalStandard.dat,,,
dreamer,Dreamer,Voyager,dreamer.ogg,125,,,,,ExpertPlusStandard.dat
duhast,Du hast,Rammstein,song.ogg,125.0999984741211,,NormalStandard.dat,,ExpertStandard.dat,
edamame,Edamame,bbno$ and Rich Brian,song.ogg,106.0,Easy.dat,,,,
einherjr,Einherjr,Hulkoff,song.ogg,140.0,Easy.dat,,,,
elnano,El Nano,Melendi,song.ogg,118.05000305175781,,,,ExpertStandard.dat,
elorenezz,Elore Nezz,theGrenma,song.ogg,175,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
elsasprocessiontothecathedral,Elsa's Procession to the Cathedral,Richard Wagner,Elsa.ogg,100,EasyStandard.dat,,,,
emeraldsword,Emerald Sword,Rhapsody,song.ogg,180,,,,ExpertStandard.dat,
enemy,Enemy,Imagine Dragons,song.ogg,77.0,Easy.dat,,,,
enemyapproaching,Enemy Approaching,Toby Fox,song.ogg,91.5,Easy.dat,,,,
epidemicgirl,Epidemic Girl,X-Plorez,song.ogg,140.0,Easy.dat,Normal.dat,Hard.dat,,
etron,E-Tron,Ultra Vomit,etron.ogg,142,,,,ExpertStandard.dat,ExpertPlusStandard.dat
expurgation,Expurgation,RozeBud,song.ogg,230,,Normal.dat,,,ExpertPlusStandard.dat
eyeless,Eyeless,Slipknot,eyeless.ogg,200,,,,,ExpertPlusStandard.dat
fallsofglory,Falls of Glory,BrunuhVille,song.ogg,100.0,Easy.dat,Normal.dat,,,
farawayblues,Far Away Blues,Drockstore,song.ogg,189,,,,ExpertStandard.dat,ExpertPlusStandard.dat
feuerfrei,Feuer Frei!,Rammstein,feuer.ogg,190.18800354003906,,,,ExpertStandard.dat,ExpertPlusStandard.dat
fiestapagana,Fiesta Pagana,Mägo de Oz,song.ogg,136,,,,ExpertStandard.dat,
fimbulvetr,Fimbulvetr,SKALD,SKÁLD - Fimbulvet.ogg,200.0,Easy.dat,,,,
finaldestinationbrawl,Final Destination (Brawl),Nobou Uematsu,song.ogg,83.5,Easy.dat,,,,
finaleclipse,Final Eclipse,JYC Row,song.ogg,180.0,Easy.dat,,,,
finlandia,Finlandia,Jean Sibelius,Sibelius-Finlandia.ogg,100,EasyStandard.dat,,,,
firstdate,First Date,Blink-182,song.ogg,191.185,Easy.dat,,,,
flightofthebumblebeerock,flightofthebumblebeerock,unknow,song.ogg,180,,,,,ExpertPlusStandard.dat
flurries,Flurries,August Burns Red,song.ogg,111.5,Easy.dat,,,,
forwhomthebelltollscover,For Whom The Bell Tolls (Cover),Sabaton,for whom the bell tolls.ogg,116.0,Easy.dat,Normal.dat,,,
freepartyanimal,FreePartyAnimal,Radium,song.ogg,120.0,Easy.dat,,,,
gameofthronescover,Game of Thrones (Cover),Srod Almenara,song.ogg,170.0,Easy.dat,,,,
genocidalhumanoidz,Genocidal Humanoidz,System Of A Down,genocidal.ogg,206,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
getexited,Get Exited,Hiroaki Tsutsumi,song.ogg,120,,,Hard.dat,Expert.dat,ExpertPlus.dat
ghostbusters,Ghostbusters,Ray Parker Jr,song.ogg,115.5,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
ghostdivision,Ghost Division,Sabaton,song.ogg,176.0,Easy.dat,,,,
ghostofmarley,Ghost Of Marley,Majestica,song.ogg,140.0,Easy.dat,Normal.dat,Hard.dat,,
ghostwriter,Ghostwriter,RJD2,song.ogg,94.0,Easy.dat,,,,
gloryhammer,Gloryhammer,Gloryhammer,song.ogg,136,,,,ExpertStandard.dat,ExpertPlusStandard.dat
gloryofchristmas,Glory Of Christmas,Majestica,glory.ogg,105,,,,ExpertStandard.dat,ExpertPlusStandard.dat
go,Go!,FLOW,song.ogg,134,,,HardStandard.dat,ExpertStandard.dat,
goodnightfairlady,"Goodnight, Fair Lady",Coheed and Cambria,song.ogg,143.0,Easy.dat,,,,
goose,Goose,Polyphia,goose.ogg,110,,,,ExpertStandard.dat,
gr,Grá,Wardruna,song.ogg,74.0,Easy.dat,,,,
greatwar,Great War,Sabaton,GreatWar.ogg,103,,,HardStandard.dat,,
grotti,Grotti,SKÁLD,grótti.ogg,180.0,Easy.dat,,,,
groundthemesupermariobros,Ground Theme (Super Mario Bros. 2,Koji Kondo,song.ogg,99.72,Easy.dat,,,,
grtti,Grótti,SKÁLD,song.ogg,90.0,Easy.dat,,,,
guardiansofasgaard,Guardians of Asgaard,Amon Amarth,asgaard.ogg,135,,,,ExpertStandard.dat,ExpertPlusStandard.dat
gunman,Gunman,Orden Ogan,song.ogg,175.0,Easy.dat,Normal.dat,,,
guns,Guns,Kawai Sprite,song.ogg,92.5,Easy.dat,,,,
guy,2019 Guy,The Gentle Men,song.ogg,81.0,Easy.dat,,,,
hailtotheking,Hail to the King,Avenged Sevenfold,song.ogg,118.0,Easy.dat,,,,
hangingon,Hanging On,KNOWER,hanging.ogg,116,,,,ExpertStandard.dat,ExpertPlusStandard.dat
hanipaganda,HANIPAGANDA,Akatsuki Records,HANIPAGANDA.ogg,181,,,,ExpertStandard.dat,ExpertPlusStandard.dat
happyplace,Happy Place,Slaydit,song.ogg,120.0,Easy.dat,,,,
hardrockhallelujah,Hard Rock Hallelujah,Lordi,hallelujah.ogg,123,,,,ExpertStandard.dat,ExpertPlusStandard.dat
heartache,Heartache,Toby Fox,song.ogg,159.3,Easy.dat,,,,
heartsonfire,Hearts On Fire,Hammerfall,song.ogg,91.0,Easy.dat,Normal.dat,Hard.dat,,
heathens,Heathens,Twenty One Pilots,song.ogg,90.0,Easy.dat,,,,
heilheilsegen,Heil heil segen,MONO INC.,song.ogg,135.0,Easy.dat,,,,
heimdall,Heimdall,Saltatio Mortis,song.ogg,130.0,Easy.dat,,,,
hellfire,Hellfire,"Daisuke Ishiwatari, Naoki Hashimoto",song.ogg,138.0,Easy.dat,,,,
hellraiser,Hellraiser,Motorhead,song.ogg,98.0,Easy.dat,Normal.dat,,,
herrenderwinde,Herren Der Winde,Schandmaul,Herrn_der_Winde.ogg,109.738,Easy.dat,,,,
hesapirate,He's A Pirate,Pirates of the Caribbean,song.ogg,140.82000732421875,,,HardStandard.dat,ExpertStandard.dat,
higherground,Higher Ground,Rasmussen,song.ogg,82.0,Easy.dat,Normal.dat,Hard.dat,,
holdon,Hold On,All That Remains,song.ogg,125.0,Easy.dat,Normal.dat,,,
holiday,Holiday,Green Day,song.ogg,146.8,Easy.dat,,,,
holythunderforce,Holy Thunderforce,Rhapsody,song.ogg,180.0,Easy.dat,,,,
