song_id,song_name,song_author,song_file,bpm,Easy,Normal,Hard,Expert,ExpertPlus
dragonborn,Dragonborn,Headhunterz,dragonbornhh.ogg,150.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
dragonliesbleeding,Dragon Lies Bleeding,Hammerfall,DragonLiesBleeding.ogg,153.97999572753906,,NormalStandard.dat,,,
draugensmaelstrom,Draugen's Maelstrom,Elvenking,song.ogg,160.0,Easy.dat,,,,
dreamer,Dreamer,Voyager,dreamer.ogg,125.0,,,,,ExpertPlusStandard.dat
drink,Drink,AleStorm,song.ogg,160.0,Easy.dat,,,,
ducktales,DuckTales,Felicia Barton,song.ogg,91.5,,,,ExpertStandard.dat,
duelofthefatesstarwarsmetal,Duel of the Fates (Star Wars Metal),Megaraptor,song.ogg,158.0,Easy.dat,,,,
duhast,Du hast,Rammstein,song.ogg,125.0999984741211,,NormalStandard.dat,,ExpertStandard.dat,
dumainest,Dumaine St,Trombone Shorty,song.ogg,93.0,Easy.dat,Normal.dat,,,
dumdeedum,Dum Dee Dum,Keys N Krates,song.ogg,160.0,Easy.dat,,,,
earthwalker,Earthwalker,In Hearts Wake,song.ogg,120.0,Easy.dat,,,,
edamame,Edamame,bbno$ and Rich Brian,song.ogg,106.0,Easy.dat,,,,
einherjar,Einherjar,Danheim,song.ogg,114.0,Easy.dat,,,,
einherjr,Einherjr,Hulkoff,song.ogg,140.0,Easy.dat,,,,
elnano,El Nano,Melendi,song.ogg,118.05000305175781,,,,ExpertStandard.dat,
elorenezz,Elore Nezz,theGrenma,song.ogg,175.0,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
elsasprocessiontothecathedral,Elsa's Procession to the Cathedral,Richard Wagner,Elsa.ogg,100.0,EasyStandard.dat,,,,
emeraldsword,Emerald Sword,Rhapsody,song.ogg,180.0,,,,ExpertStandard.dat,
endofexistence,End of Existence,The Browning,song.ogg,156.0,Easy.dat,,,,
enemy,Enemy,Imagine Dragons,song.ogg,77.0,Easy.dat,,,,
enemyapproaching,Enemy Approaching,Toby Fox,song.ogg,91.5,Easy.dat,,,,
entersandman,Enter Sandman ,Metallica,song.ogg,124.0,Easy.dat,,,,
epidemicgirl,Epidemic Girl,X-Plorez,song.ogg,140.0,Easy.dat,Normal.dat,Hard.dat,,
etron,E-Tron,Ultra Vomit,etron.ogg,142.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
everlong,Everlong,Foo fighters,song.ogg,158.0,Easy.dat,,,,
everytimewetouch,Every Time We Touch,Jonathan Young,song.ogg,142.0,Easy.dat,Normal.dat,Hard.dat,,
expurgation,Expurgation,RozeBud,song.ogg,230.0,,Normal.dat,,,ExpertPlusStandard.dat
eyeless,Eyeless,Slipknot,eyeless.ogg,200.0,,,,,ExpertPlusStandard.dat
eyesonfire,Eyes On Fire ,blue Foundation (zeds Dead Remix),song.ogg,145.0,Easy.dat,,,,
facedown,Face Down,The Red Jumpsuit Apparatus,song.ogg,186.0,Easy.dat,,,,
falloutoflove,Fall Out of Love,Salem,song.ogg,195.0,Easy.dat,,,,
fallsofglory,Falls of Glory,BrunuhVille,song.ogg,100.0,Easy.dat,Normal.dat,,,
faradenza,Faradenza,Little Big,faradenza.ogg,142.0,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
farawayblues,Far Away Blues,Drockstore,song.ogg,189.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
feuerfrei,Feuer Frei!,Rammstein,feuer.ogg,190.18800354003906,,,,ExpertStandard.dat,ExpertPlusStandard.dat
fiestapagana,Fiesta Pagana,Mägo de Oz,song.ogg,136.0,,,,ExpertStandard.dat,
fimbulvetr,Fimbulvetr,SKALD,SKÁLD - Fimbulvet.ogg,200.0,Easy.dat,,,,
finaldestinationbrawl,Final Destination (Brawl),Nobou Uematsu,song.ogg,83.5,Easy.dat,,,,
finaleclipse,Final Eclipse,JYC Row,song.ogg,180.0,Easy.dat,,,,
finlandia,Finlandia,Jean Sibelius,Sibelius-Finlandia.ogg,100.0,EasyStandard.dat,,,,
firepower,Firepower,Judas Priest,song.ogg,95.0,Easy.dat,,,,
firesign,Firesign,Dyaznty,song.ogg,110.0,Easy.dat,,,,
firstoftheyearequinox,First of the Year (Equinox),Skrillex,equinox.ogg,145.0,,,,,ExpertPlusStandard.dat
flurries,Flurries,August Burns Red,song.ogg,111.5,Easy.dat,,,,
forestsnow,ForestSnow,NekomataMaster,song.ogg,126.0,Easy.dat,Normal.dat,,,
foreverwest,Forever West,Phinehas,forever.ogg,120.0,,,,,ExpertPlusStandard.dat
